extract,extract_label,type,records,file
Object.localized_case_assessment__v,Localized Case Assessment,deletes,0,
Object.localized_case_assessment_result__v,Localized Case Assessment Result,updates,0,
Object.localized_case_assessment_result__v,Localized Case Assessment Result,deletes,0,
Object.localized_case_cause_of_death__v,Localized Case Cause of Death,updates,0,
Object.localized_case_cause_of_death__v,Localized Case Cause of Death,deletes,0,
Object.localized_case_comment__v,Localized Case Comment,updates,0,
Object.localized_case_comment__v,Localized Case Comment,deletes,0,
Object.localized_case_contact__v,Localized Case Contact,updates,0,
Object.localized_case_contact__v,Localized Case Contact,deletes,0,
Object.localized_case_document__v,Localized Case Document,updates,0,
Object.localized_case_document__v,Localized Case Document,deletes,0,
Object.localized_case_drug_history__v,Localized Case Drug History,updates,0,
Object.localized_case_drug_history__v,Localized Case Drug History,deletes,0,
Object.localized_case_identifier__v,Localized Case Identifier,updates,0,
Object.localized_case_identifier__v,Localized Case Identifier,deletes,0,
Object.localized_case_medical_history__v,Localized Case Medical History,updates,0,
Object.localized_case_medical_history__v,Localized Case Medical History,deletes,0,
Object.localized_case_product__v,Localized Case Product,updates,0,
Object.localized_case_product__v,Localized Case Product,deletes,0,
Object.localized_case_product_device_code__v,Localized Case Product Device Code,updates,0,
Object.localized_case_product_device_code__v,Localized Case Product Device Code,deletes,0,
Object.localized_case_product_dosage__v,Localized Case Product Dosage,updates,0,
Object.localized_case_product_dosage__v,Localized Case Product Dosage,deletes,0,
Object.localized_case_product_indication__v,Localized Case Product Indication,updates,0,
Object.localized_case_product_indication__v,Localized Case Product Indication,deletes,0,
Object.localized_case_product_substance__v,Localized Case Product Substance,updates,0,
Object.localized_case_product_substance__v,Localized Case Product Substance,deletes,0,
Object.localized_case_test_result__v,Localized Case Test Result,updates,0,
Object.localized_case_test_result__v,Localized Case Test Result,deletes,0,
Object.localized_case_translation__v,Localized Case Translation,updates,0,
Object.localized_case_translation__v,Localized Case Translation,deletes,0,
Object.localized_controlled_vocabulary__v,Localized Controlled Vocabulary,updates,0,
Object.localized_controlled_vocabulary__v,Localized Controlled Vocabulary,deletes,0,
Object.localized_country__v,Localized Country,updates,0,
Object.localized_country__v,Localized Country,deletes,0,
Object.localized_country_state_province__v,Localized Country State/Province,updates,0,
Object.localized_country_state_province__v,Localized Country State/Province,deletes,0,
Object.localized_dose_form__v,Localized Dose Form,updates,0,
Object.localized_dose_form__v,Localized Dose Form,deletes,0,
Object.localized_organization__v,Localized Organization,updates,0,
Object.localized_organization__v,Localized Organization,deletes,0,
Object.localized_product__v,Localized Product,updates,0,
Object.localized_product__v,Localized Product,deletes,0,
Object.localized_reason_omitted__v,Localized Reason Omitted,updates,0,
Object.localized_reason_omitted__v,Localized Reason Omitted,deletes,0,
Object.localized_route_of_administration__v,Localized Route of Administration,updates,0,
Object.localized_route_of_administration__v,Localized Route of Administration,deletes,0,
Object.localized_study__v,Localized Study,updates,0,
Object.localized_study__v,Localized Study,deletes,0,
Object.localized_study_arm__v,Localized Study Arm,updates,0,
Object.localized_study_arm__v,Localized Study Arm,deletes,0,
Object.localized_substance__v,Localized Substance,updates,0,
Object.localized_substance__v,Localized Substance,deletes,0,
Object.localized_unit_of_measurement__v,Localized Unit of Measurement,updates,0,
Object.localized_unit_of_measurement__v,Localized Unit of Measurement,deletes,0,
Object.logo__c,Logo,updates,0,
Object.logo__c,Logo,deletes,0,
Object.market_segment__v,Market Segment,updates,0,
Object.market_segment__v,Market Segment,deletes,0,
Object.match_text_variation__sys,Match Text Variation,updates,0,
Object.match_text_variation__sys,Match Text Variation,deletes,0,
Object.matching_contents__v,Matching Contents,updates,0,
Object.matching_contents__v,Matching Contents,deletes,0,
Object.meddra__v,MedDRA,updates,0,
Object.meddra__v,MedDRA,deletes,0,
Object.meddra_coding_settings__v,MedDRA Coding Settings,updates,0,
Object.meddra_coding_settings__v,MedDRA Coding Settings,deletes,0,
Object.meddra_criteria__v,MedDRA Criteria,updates,0,
